"Yield Rate","Acceptance Rate","School Name","School Type","Starting Median Salary","Mid-Career Median Salary","Mid-Career 10th Percentile Salary","Mid-Career 25th Percentile Salary","Mid-Career 75th Percentile Salary","Mid-Career 90th Percentile Salary"
"74","7.9","Massachusetts Institute of Technology (MIT)","Engineering","72200","$126,000.00","$76,800.00","$99,200.00","$168,000.00","$220,000.00"
"43","8.1","California Institute of Technology (CIT)","Engineering","75500","$123,000.00","N/A","$104,000.00","$161,000.00","N/A"
"39.02","14","Harvey Mudd College","Engineering","71800","$122,000.00","N/A","$96,000.00","$180,000.00","N/A"
"38","21.7","Carnegie Mellon University (CMU)","Engineering","61800","$111,000.00","$63,300.00","$80,100.00","$150,000.00","$209,000.00"
"41","22","Georgia Institute of Technology","Engineering","58300","$106,000.00","$67,200.00","$85,200.00","$137,000.00","$183,000.00"
"21.01","57.1","Illinois Institute of Technology (IIT)","Engineering","56000","$97,800.00","$56,100.00","$77,400.00","$121,000.00","$165,000.00"
"22","66","Rochester Institute of Technology (RIT)","Engineering","48900","$84,600.00","$45,000.00","$62,100.00","$112,000.00","$159,000.00"
"36","76","Tennessee Technological University","Engineering","46200","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00"
"31","62","University of Illinois at Urbana-Champaign (UIUC)","Party","52900","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00"
"17","32","University of California, Santa Barbara (UCSB)","Party","50500","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00"
"46","39","University of Texas (UT) - Austin","Party","49700","$93,900.00","$50,100.00","$67,400.00","$129,000.00","$188,000.00"
"43","90","State University of New York (SUNY) at Albany","Party","44500","$92,200.00","$47,000.00","$63,100.00","$135,000.00","$209,000.00"
"45","49","University of Georgia (UGA)","Party","44100","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00"
"20","77","University of New Hampshire (UNH)","Party","41800","$78,300.00","$41,700.00","$56,400.00","$114,000.00","$147,000.00"
"31","82","West Virginia University (WVU)","Party","43100","$78,100.00","$39,700.00","$55,700.00","$106,000.00","$141,000.00"
"22","78","Ohio University","Party","42200","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00"
"29","33","Bucknell University","Liberal Arts","54100","$110,000.00","$62,800.00","$80,600.00","$156,000.00","$251,000.00"
"34","25","Colgate University","Liberal Arts","52800","$108,000.00","$60,000.00","$76,700.00","$167,000.00","$265,000.00"
"27","29","Lafayette College","Liberal Arts","53900","$107,000.00","$70,600.00","$79,300.00","$144,000.00","$204,000.00"
"32","38","College of the Holy Cross","Liberal Arts","50200","$106,000.00","N/A","$65,600.00","$143,000.00","N/A"
"38","21","Washington and Lee University","Liberal Arts","53600","$104,000.00","N/A","$82,800.00","$146,000.00","N/A"
"46","19","Davidson College","Liberal Arts","46100","$104,000.00","N/A","$70,500.00","$146,000.00","N/A"
"43","13","Williams College","Liberal Arts","51700","$102,000.00","N/A","$76,400.00","$143,000.00","N/A"
"36","17","Wesleyan University (Middletown, Connecticut)","Liberal Arts","46500","$97,900.00","$42,000.00","$62,500.00","$126,000.00","$215,000.00"
"36","13","Colby College","Liberal Arts","46400","$85,800.00","N/A","$63,500.00","$129,000.00","N/A"
"26","45","Gettysburg College","Liberal Arts","44700","$85,800.00","N/A","$66,300.00","$132,000.00","N/A"
"26","24","Grinnell College","Liberal Arts","42600","$76,600.00","N/A","$65,100.00","$116,000.00","N/A"
"12","74","Lewis & Clark College","Liberal Arts","38900","$72,600.00","$38,200.00","$53,400.00","$104,000.00","$140,000.00"
"61","9","Dartmouth College","Ivy League","58000","$134,000.00","$63,100.00","$90,200.00","$234,000.00","$321,000.00"
"5","69","Princeton University","Ivy League","66500","$131,000.00","$68,900.00","$100,000.00","$190,000.00","$261,000.00"
"70","6","Yale University","Ivy League","59100","$126,000.00","$58,000.00","$80,600.00","$198,000.00","$326,000.00"
"82","5","Harvard University","Ivy League","63400","$124,000.00","$54,800.00","$86,200.00","$179,000.00","$288,000.00"
"67","8","University of Pennsylvania","Ivy League","60900","$120,000.00","$55,900.00","$79,200.00","$192,000.00","$282,000.00"
"60","11","Cornell University","Ivy League","60300","$110,000.00","$56,800.00","$79,800.00","$160,000.00","$210,000.00"
"61","8","Brown University","Ivy League","56200","$109,000.00","$55,400.00","$74,400.00","$159,000.00","$228,000.00"
"62","6","Columbia University","Ivy League","59400","$107,000.00","$50,300.00","$71,900.00","$161,000.00","$241,000.00"
"45","15","University of California, Berkeley","State","59900","$112,000.00","$59,500.00","$81,000.00","$149,000.00","$201,000.00"
"39","26","University of Virginia (UVA)","State","52700","$103,000.00","$52,200.00","$71,800.00","$146,000.00","$215,000.00"
"27","30","Cal Poly San Luis Obispo","State","57200","$101,000.00","$55,000.00","$74,700.00","$133,000.00","$178,000.00"
"39","14","University of California at Los Angeles (UCLA)","State","52600","$101,000.00","$51,300.00","$72,500.00","$139,000.00","$193,000.00"
"23","30","University of California, San Diego (UCSD)","State","51100","$101,000.00","$51,700.00","$75,400.00","$131,000.00","$177,000.00"
"20","41","University of California, Davis","State","52300","$99,600.00","$52,000.00","$71,600.00","$135,000.00","$202,000.00"
"22","82","University of Colorado - Boulder (UCB)","State","47100","$97,600.00","$51,600.00","$69,000.00","$128,000.00","$187,000.00"
"21","29","University of California, Irvine (UCI)","State","48300","$96,700.00","$47,800.00","$66,000.00","$123,000.00","$172,000.00"
"31","62","University of Illinois at Urbana-Champaign (UIUC)","State","52900","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00"
"45","71","Texas A&M University","State","49700","$96,100.00","$51,100.00","$71,300.00","$131,000.00","$171,000.00"
"19","40","Binghamton University","State","53600","$95,900.00","$50,900.00","$71,200.00","$146,000.00","$201,000.00"
"19","55","San Jose State University (SJSU)","State","53500","$95,600.00","$50,700.00","$70,500.00","$122,000.00","$156,000.00"
"30","47","University of Maryland, College Park","State","52000","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00"
"17","32","University of California, Santa Barbara (UCSB)","State","50500","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00"